Video,Event,Start_time,End Time,Start_frame,End_frame,Bout_time
Dual_FP-210216-102345_1130-none-231201-171233_Cam1_clipped_01m_11s_cropped,approach,0,0.25,0,4,0.25
Dual_FP-210216-102345_1130-none-231201-171233_Cam1_clipped_01m_11s_cropped,approach,14.8,18.95,296,378,4.15
Dual_FP-210216-102345_1130-none-231201-171233_Cam1_clipped_01m_11s_cropped,approach,38.35,39.9,767,797,1.55
Dual_FP-210216-102345_1130-none-231201-171233_Cam1_clipped_01m_11s_cropped,approach,43.75,44.25,875,884,0.5
Dual_FP-210216-102345_1130-none-231201-171233_Cam1_clipped_01m_11s_cropped,approach,46.9,47.5,938,949,0.6
Dual_FP-210216-102345_1130-none-231201-171233_Cam1_clipped_01m_11s_cropped,approach,56.75,57.4,1135,1147,0.65
Dual_FP-210216-102345_1130-none-231201-171233_Cam1_clipped_01m_11s_cropped,approach,76.15,77.25,1523,1544,1.1
Dual_FP-210216-102345_1130-none-231201-171233_Cam1_clipped_01m_11s_cropped,approach,80.45,80.8,1609,1615,0.35
Dual_FP-210216-102345_1130-none-231201-171233_Cam1_clipped_01m_11s_cropped,approach,84.35,84.7,1687,1693,0.35
Dual_FP-210216-102345_1130-none-231201-171233_Cam1_clipped_01m_11s_cropped,approach,116.95,117.7,2339,2353,0.75
Dual_FP-210216-102345_1130-none-231201-171233_Cam1_clipped_01m_11s_cropped,approach,120.05,121,2401,2419,0.95
Dual_FP-210216-102345_1130-none-231201-171233_Cam1_clipped_01m_11s_cropped,approach,124.35,126.3,2487,2525,1.95
Dual_FP-210216-102345_1130-none-231201-171233_Cam1_clipped_01m_11s_cropped,approach,150.8,151.4,3016,3027,0.6
Dual_FP-210216-102345_1130-none-231201-171233_Cam1_clipped_01m_11s_cropped,approach,178.75,179.95,3575,3598,1.2
Dual_FP-210216-102345_1130-none-231201-171233_Cam1_clipped_01m_11s_cropped,approach,198.85,201.45,3977,4028,2.6
Dual_FP-210216-102345_1130-none-231201-171233_Cam1_clipped_01m_11s_cropped,approach,214.85,216.45,4297,4328,1.6
Dual_FP-210216-102345_1130-none-231201-171233_Cam1_clipped_01m_11s_cropped,approach,238.1,238.8,4762,4775,0.7
Dual_FP-210216-102345_1130-none-231201-171233_Cam1_clipped_01m_11s_cropped,approach,243.85,252.7,4877,5053,8.85
