Video,Event,Start_time,End Time,Start_frame,End_frame,Bout_time
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,121.35,122.15,2427,2442,0.8
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,126.25,134.55,2525,2690,8.3
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,149.25,151.85,2985,3036,2.6
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,152.2,155.25,3044,3104,3.05
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,165.9,167.05,3318,3340,1.15
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,171.1,173.25,3422,3464,2.15
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,174.15,175.9,3483,3517,1.75
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,176.65,178.75,3533,3574,2.1
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,185.35,188.05,3707,3760,2.7
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,189.85,201.45,3797,4028,11.6
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,202.75,207.25,4055,4144,4.5
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,210.4,215.25,4208,4304,4.85
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,219.85,221.1,4397,4421,1.25
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,223.35,224.45,4467,4488,1.1
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,230.9,231.8,4618,4635,0.9
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,232.5,235.05,4650,4700,2.55
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,240.95,245.4,4819,4907,4.45
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,248.55,251.3,4971,5025,2.75
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,255.95,257.1,5119,5141,1.15
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,259.85,261.3,5197,5225,1.45
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,263.65,266.65,5273,5332,3
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,274.4,276.6,5488,5531,2.2
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,283.05,285,5661,5699,1.95
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,288.85,289.75,5777,5794,0.9
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,290.1,290.45,5802,5808,0.35
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,290.8,291.2,5816,5823,0.4
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,297.05,299.35,5941,5986,2.3
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,299.7,302.35,5994,6046,2.65
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,304.55,305.25,6091,6104,0.7
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,309.4,311.95,6188,6238,2.55
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,313.2,314.4,6264,6287,1.2
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,316.35,317,6327,6339,0.65
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,319.35,320.55,6387,6410,1.2
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,324.7,325.35,6494,6506,0.65
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,336,337.5,6720,6749,1.5
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,343.8,346.3,6876,6925,2.5
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,357,357.6,7140,7151,0.6
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,362.9,363.65,7258,7272,0.75
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,370.2,373,7404,7459,2.8
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,377.65,381.2,7553,7623,3.55
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,383,385.5,7660,7709,2.5
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,387.25,387.6,7745,7751,0.35
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,388,389,7760,7779,1
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,393.8,394.35,7876,7886,0.55
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,395.35,403.75,7907,8074,8.4
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,406.95,407.5,8139,8149,0.55
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,408.15,409.25,8163,8184,1.1
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,411.75,412.65,8235,8252,0.9
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,426.4,427.3,8528,8545,0.9
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,437.5,439.85,8750,8796,2.35
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,452.45,453.7,9049,9073,1.25
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,456.35,457.25,9127,9144,0.9
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,457.8,458.75,9156,9174,0.95
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,462.35,462.75,9247,9254,0.4
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,467.1,470.4,9342,9407,3.3
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,478.3,481.4,9566,9627,3.1
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,491.9,494.2,9838,9883,2.3
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,497.7,499.5,9954,9989,1.8
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,500.6,501.8,10012,10035,1.2
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,504.5,508.8,10090,10175,4.3
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,519.85,520.4,10397,10407,0.55
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,521,521.75,10420,10434,0.75
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,523.4,524.45,10468,10488,1.05
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,526,526.55,10520,10530,0.55
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,527.85,529.55,10557,10590,1.7
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,530.05,530.65,10601,10612,0.6
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,538.95,540.15,10779,10802,1.2
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,541.9,542.7,10838,10853,0.8
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,548,548.8,10960,10975,0.8
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,549.9,551.3,10998,11025,1.4
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,551.85,553.65,11037,11072,1.8
